App,Rating,Reviews,Installs,Price,Last Updated,review_rating
Coloring book moana,6,967,500000,0,2936.0,0.2727272727272727
Garden Coloring Book,7,13791,1000000,0,2819.75,0.6
FlipaClip - Cartoon animation,7,194216,5000000,0,3137.5,1.0
Boys Photo Editor - Six Pack & Men's Suit,7,654,100000,0,3002.0,0.47368421052631576
Colorfit - Drawing & Coloring,8,20260,500000,0,2841.25,0.5526315789473685
Animated Photo Editor,7,203,100000,0,3003.0,0.4857142857142857
Anime Manga Coloring Book,7,5035,100000,0,3123.0,0.6666666666666666
Easy Origami Ideas,7,1015,100000,0,2927.0,0.17647058823529413
Floor Plan Creator,7,36639,5000000,0,3118.0,0.6216216216216216
"Canva: Poster, banner, card maker & graphic design",8,174531,10000000,0,3135.0,0.7105263157894737
CDL Practice Test 2018 Edition,8,7774,100000,0,3107.0,0.8333333333333334
Free VIN Report for Used Cars,8,2431,100000,0,3085.5,0.6571428571428571
DMV Permit Practice Test 2018 Edition,8,6090,100000,0,3107.0,0.8235294117647058
"Android Auto - Maps, Media, Messaging & Voice",7,271920,10000000,0,3115.0,0.9354838709677419
Best Car Wallpapers,7,994,100000,0,3009.0,0.0
BEST CAR SOUNDS,7,348,100000,0,3133.0,0.5945945945945946
Fuelio: Gas log & costs,8,65786,1000000,0,3136.5,0.7954545454545454
"BestCam Selfie-selfie, beauty camera, photo editor",6,1739,500000,0,3116.0,-0.04040404040404041
Hairstyles step by step,8,4369,100000,0,3129.0,0.7777777777777778
Filters for Selfie,7,8572,1000000,0,3053.0,0.23809523809523808
Beauty Camera - Selfie Camera,6,113715,10000000,0,2772.25,0.4166666666666667
Filters for B Live,7,2280,500000,0,3057.0,0.3
Dresses Ideas & Fashions +3000,7,473,100000,0,2617.75,0.7586206896551724
Amazon Kindle,7,814080,100000000,0,3131.0,0.27350427350427353
Cool Reader,7,246315,10000000,0,2025.25,0.34210526315789475
Dictionary - Merriam-Webster,7,454060,10000000,0,3061.0,0.5
Free Panda Radio Music,7,418,100000,0,3009.0,0.5
FBReader: Favorite Book Reader,7,203130,10000000,0,3101.5,0.5641025641025641
AlReader -any text book reader,8,90468,5000000,0,3070.0,0.46153846153846156
FamilySearch Tree,7,17506,1000000,0,3124.0,0.5666666666666667
Ebook Reader,7,85842,5000000,0,3098.5,0.717948717948718
All Maths Formulas,7,2709,1000000,0,3115.0,0.7575757575757576
Ancestry,7,64513,5000000,0,3135.0,0.6486486486486487
HTC Help,7,8342,10000000,0,2797.25,0.175
English-Myanmar Dictionary,7,8788,1000000,0,3132.0,0.7631578947368421
Golden Dictionary (EN-AR),7,51269,1000000,0,3123.0,0.5945945945945946
All Language Translator Free,7,30105,1000000,0,3133.0,0.8
Azpen eReader,5,156,500000,0,2966.5,0.4782608695652174
Google My Business,7,70991,5000000,0,3128.0,0.5128205128205128
Curriculum vitae App CV Builder Free Resume Maker,7,4458,500000,0,3112.0,0.7368421052631579
