FIPS,FOODINSEC_10_12,FOODINSEC_13_15,VLFOODSEC_10_12,VLFOODSEC_13_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
1001,17.9,17.6,6.8,7.3,8.5,9.3
1003,17.9,17.6,6.8,7.3,8.5,9.3
1005,17.9,17.6,6.8,7.3,8.5,9.3
1007,17.9,17.6,6.8,7.3,8.5,9.3
1009,17.9,17.6,6.8,7.3,8.5,9.3
1011,17.9,17.6,6.8,7.3,8.5,9.3
1013,17.9,17.6,6.8,7.3,8.5,9.3
1015,17.9,17.6,6.8,7.3,8.5,9.3
1017,17.9,17.6,6.8,7.3,8.5,9.3
1019,17.9,17.6,6.8,7.3,8.5,9.3
1021,17.9,17.6,6.8,7.3,8.5,9.3
1023,17.9,17.6,6.8,7.3,8.5,9.3
1025,17.9,17.6,6.8,7.3,8.5,9.3
1027,17.9,17.6,6.8,7.3,8.5,9.3
1029,17.9,17.6,6.8,7.3,8.5,9.3
1031,17.9,17.6,6.8,7.3,8.5,9.3
1033,17.9,17.6,6.8,7.3,8.5,9.3
1035,17.9,17.6,6.8,7.3,8.5,9.3
1037,17.9,17.6,6.8,7.3,8.5,9.3
1039,17.9,17.6,6.8,7.3,8.5,9.3
1041,17.9,17.6,6.8,7.3,8.5,9.3
1043,17.9,17.6,6.8,7.3,8.5,9.3
1045,17.9,17.6,6.8,7.3,8.5,9.3
1047,17.9,17.6,6.8,7.3,8.5,9.3
1049,17.9,17.6,6.8,7.3,8.5,9.3
1051,17.9,17.6,6.8,7.3,8.5,9.3
1053,17.9,17.6,6.8,7.3,8.5,9.3
1055,17.9,17.6,6.8,7.3,8.5,9.3
1057,17.9,17.6,6.8,7.3,8.5,9.3
1059,17.9,17.6,6.8,7.3,8.5,9.3
1061,17.9,17.6,6.8,7.3,8.5,9.3
1063,17.9,17.6,6.8,7.3,8.5,9.3
1065,17.9,17.6,6.8,7.3,8.5,9.3
1067,17.9,17.6,6.8,7.3,8.5,9.3
1069,17.9,17.6,6.8,7.3,8.5,9.3
1071,17.9,17.6,6.8,7.3,8.5,9.3
1073,17.9,17.6,6.8,7.3,8.5,9.3
1075,17.9,17.6,6.8,7.3,8.5,9.3
1077,17.9,17.6,6.8,7.3,8.5,9.3
1079,17.9,17.6,6.8,7.3,8.5,9.3
1081,17.9,17.6,6.8,7.3,8.5,9.3
1083,17.9,17.6,6.8,7.3,8.5,9.3
1085,17.9,17.6,6.8,7.3,8.5,9.3
1087,17.9,17.6,6.8,7.3,8.5,9.3
1089,17.9,17.6,6.8,7.3,8.5,9.3
1091,17.9,17.6,6.8,7.3,8.5,9.3
1093,17.9,17.6,6.8,7.3,8.5,9.3
1095,17.9,17.6,6.8,7.3,8.5,9.3
1097,17.9,17.6,6.8,7.3,8.5,9.3
1099,17.9,17.6,6.8,7.3,8.5,9.3
1101,17.9,17.6,6.8,7.3,8.5,9.3
1103,17.9,17.6,6.8,7.3,8.5,9.3
1105,17.9,17.6,6.8,7.3,8.5,9.3
1107,17.9,17.6,6.8,7.3,8.5,9.3
1109,17.9,17.6,6.8,7.3,8.5,9.3
1111,17.9,17.6,6.8,7.3,8.5,9.3
1113,17.9,17.6,6.8,7.3,8.5,9.3
1115,17.9,17.6,6.8,7.3,8.5,9.3
1117,17.9,17.6,6.8,7.3,8.5,9.3
1119,17.9,17.6,6.8,7.3,8.5,9.3
1121,17.9,17.6,6.8,7.3,8.5,9.3
1123,17.9,17.6,6.8,7.3,8.5,9.3
1125,17.9,17.6,6.8,7.3,8.5,9.3
1127,17.9,17.6,6.8,7.3,8.5,9.3
1129,17.9,17.6,6.8,7.3,8.5,9.3
1131,17.9,17.6,6.8,7.3,8.5,9.3
1133,17.9,17.6,6.8,7.3,8.5,9.3
2013,12.1,13.3,4.4,4.4,7.4,8.0
2016,12.1,13.3,4.4,4.4,7.4,8.0
2020,12.1,13.3,4.4,4.4,7.4,8.0
2050,12.1,13.3,4.4,4.4,7.4,8.0
2060,12.1,13.3,4.4,4.4,7.4,8.0
2068,12.1,13.3,4.4,4.4,7.4,8.0
2070,12.1,13.3,4.4,4.4,7.4,8.0
2090,12.1,13.3,4.4,4.4,7.4,8.0
2100,12.1,13.3,4.4,4.4,7.4,8.0
2105,12.1,13.3,4.4,4.4,7.4,8.0
2110,12.1,13.3,4.4,4.4,7.4,8.0
2122,12.1,13.3,4.4,4.4,7.4,8.0
2130,12.1,13.3,4.4,4.4,7.4,8.0
2150,12.1,13.3,4.4,4.4,7.4,8.0
2164,12.1,13.3,4.4,4.4,7.4,8.0
2170,12.1,13.3,4.4,4.4,7.4,8.0
2180,12.1,13.3,4.4,4.4,7.4,8.0
2185,12.1,13.3,4.4,4.4,7.4,8.0
2188,12.1,13.3,4.4,4.4,7.4,8.0
2195,12.1,13.3,4.4,4.4,7.4,8.0
2198,12.1,13.3,4.4,4.4,7.4,8.0
2220,12.1,13.3,4.4,4.4,7.4,8.0
2230,12.1,13.3,4.4,4.4,7.4,8.0
2240,12.1,13.3,4.4,4.4,7.4,8.0
2261,12.1,13.3,4.4,4.4,7.4,8.0
2270,12.1,13.3,4.4,4.4,7.4,8.0
2275,12.1,13.3,4.4,4.4,7.4,8.0
2282,12.1,13.3,4.4,4.4,7.4,8.0
2290,12.1,13.3,4.4,4.4,7.4,8.0
4001,19.7,19.2,8.1,7.4,9.7,10.9
4003,19.7,19.2,8.1,7.4,9.7,10.9
4005,19.7,19.2,8.1,7.4,9.7,10.9
4007,19.7,19.2,8.1,7.4,9.7,10.9
4009,19.7,19.2,8.1,7.4,9.7,10.9
4011,19.7,19.2,8.1,7.4,9.7,10.9
4012,19.7,19.2,8.1,7.4,9.7,10.9
4013,19.7,19.2,8.1,7.4,9.7,10.9
4015,19.7,19.2,8.1,7.4,9.7,10.9
4017,19.7,19.2,8.1,7.4,9.7,10.9
4019,19.7,19.2,8.1,7.4,9.7,10.9
4021,19.7,19.2,8.1,7.4,9.7,10.9
4023,19.7,19.2,8.1,7.4,9.7,10.9
4025,19.7,19.2,8.1,7.4,9.7,10.9
4027,19.7,19.2,8.1,7.4,9.7,10.9
5001,14.9,14.9,6.4,6.0,11.2,11.5
5003,14.9,14.9,6.4,6.0,11.2,11.5
5005,14.9,14.9,6.4,6.0,11.2,11.5
5007,14.9,14.9,6.4,6.0,11.2,11.5
5009,14.9,14.9,6.4,6.0,11.2,11.5
5011,14.9,14.9,6.4,6.0,11.2,11.5
5013,14.9,14.9,6.4,6.0,11.2,11.5
5015,14.9,14.9,6.4,6.0,11.2,11.5
5017,14.9,14.9,6.4,6.0,11.2,11.5
5019,14.9,14.9,6.4,6.0,11.2,11.5
5021,14.9,14.9,6.4,6.0,11.2,11.5
5023,14.9,14.9,6.4,6.0,11.2,11.5
5025,14.9,14.9,6.4,6.0,11.2,11.5
5027,14.9,14.9,6.4,6.0,11.2,11.5
5029,14.9,14.9,6.4,6.0,11.2,11.5
5031,14.9,14.9,6.4,6.0,11.2,11.5
5033,14.9,14.9,6.4,6.0,11.2,11.5
5035,14.9,14.9,6.4,6.0,11.2,11.5
5037,14.9,14.9,6.4,6.0,11.2,11.5
5039,14.9,14.9,6.4,6.0,11.2,11.5
5041,14.9,14.9,6.4,6.0,11.2,11.5
5043,14.9,14.9,6.4,6.0,11.2,11.5
5045,14.9,14.9,6.4,6.0,11.2,11.5
5047,14.9,14.9,6.4,6.0,11.2,11.5
5049,14.9,14.9,6.4,6.0,11.2,11.5
5051,14.9,14.9,6.4,6.0,11.2,11.5
5053,14.9,14.9,6.4,6.0,11.2,11.5
5055,14.9,14.9,6.4,6.0,11.2,11.5
5057,14.9,14.9,6.4,6.0,11.2,11.5
5059,14.9,14.9,6.4,6.0,11.2,11.5
5061,14.9,14.9,6.4,6.0,11.2,11.5
5063,14.9,14.9,6.4,6.0,11.2,11.5
5065,14.9,14.9,6.4,6.0,11.2,11.5
5067,14.9,14.9,6.4,6.0,11.2,11.5
5069,14.9,14.9,6.4,6.0,11.2,11.5
5071,14.9,14.9,6.4,6.0,11.2,11.5
5073,14.9,14.9,6.4,6.0,11.2,11.5
5075,14.9,14.9,6.4,6.0,11.2,11.5
5077,14.9,14.9,6.4,6.0,11.2,11.5
5079,14.9,14.9,6.4,6.0,11.2,11.5
5081,14.9,14.9,6.4,6.0,11.2,11.5
5083,14.9,14.9,6.4,6.0,11.2,11.5
5085,14.9,14.9,6.4,6.0,11.2,11.5
5087,14.9,14.9,6.4,6.0,11.2,11.5
5089,14.9,14.9,6.4,6.0,11.2,11.5
5091,14.9,14.9,6.4,6.0,11.2,11.5
5093,14.9,14.9,6.4,6.0,11.2,11.5
5095,14.9,14.9,6.4,6.0,11.2,11.5
5097,14.9,14.9,6.4,6.0,11.2,11.5
5099,14.9,14.9,6.4,6.0,11.2,11.5
5101,14.9,14.9,6.4,6.0,11.2,11.5
5103,14.9,14.9,6.4,6.0,11.2,11.5
5105,14.9,14.9,6.4,6.0,11.2,11.5
5107,14.9,14.9,6.4,6.0,11.2,11.5
5109,14.9,14.9,6.4,6.0,11.2,11.5
5111,14.9,14.9,6.4,6.0,11.2,11.5
5113,14.9,14.9,6.4,6.0,11.2,11.5
5115,14.9,14.9,6.4,6.0,11.2,11.5
5117,14.9,14.9,6.4,6.0,11.2,11.5
5119,14.9,14.9,6.4,6.0,11.2,11.5
5121,14.9,14.9,6.4,6.0,11.2,11.5
5123,14.9,14.9,6.4,6.0,11.2,11.5
5125,14.9,14.9,6.4,6.0,11.2,11.5
5127,14.9,14.9,6.4,6.0,11.2,11.5
5129,14.9,14.9,6.4,6.0,11.2,11.5
