,FIPS,State,County,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
0,1001,AL,Autauga,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
1,1003,AL,Baldwin,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
2,1005,AL,Barbour,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
3,1007,AL,Bibb,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
4,1009,AL,Blount,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
5,1011,AL,Bullock,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
6,1013,AL,Butler,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
7,1015,AL,Calhoun,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
8,1017,AL,Chambers,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
9,1019,AL,Cherokee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
10,1021,AL,Chilton,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
11,1023,AL,Choctaw,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
12,1025,AL,Clarke,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
13,1027,AL,Clay,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
14,1029,AL,Cleburne,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
15,1031,AL,Coffee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
16,1033,AL,Colbert,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
17,1035,AL,Conecuh,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
18,1037,AL,Coosa,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
19,1039,AL,Covington,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
20,1041,AL,Crenshaw,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
21,1043,AL,Cullman,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
22,1045,AL,Dale,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
23,1047,AL,Dallas,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
24,1049,AL,DeKalb,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
25,1051,AL,Elmore,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
26,1053,AL,Escambia,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
27,1055,AL,Etowah,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
28,1057,AL,Fayette,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
29,1059,AL,Franklin,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
30,1061,AL,Geneva,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
31,1063,AL,Greene,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
32,1065,AL,Hale,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
33,1067,AL,Henry,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
34,1069,AL,Houston,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
35,1071,AL,Jackson,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
36,1073,AL,Jefferson,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
37,1075,AL,Lamar,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
38,1077,AL,Lauderdale,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
39,1079,AL,Lawrence,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
40,1081,AL,Lee,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
41,1083,AL,Limestone,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
42,1085,AL,Lowndes,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
43,1087,AL,Macon,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
44,1089,AL,Madison,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
45,1091,AL,Marengo,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
46,1093,AL,Marion,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
47,1095,AL,Marshall,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
48,1097,AL,Mobile,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
49,1099,AL,Monroe,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
50,1101,AL,Montgomery,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
51,1103,AL,Morgan,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
52,1105,AL,Perry,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
53,1107,AL,Pickens,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
54,1109,AL,Pike,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
55,1111,AL,Randolph,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
56,1113,AL,Russell,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
57,1115,AL,St. Clair,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
58,1117,AL,Shelby,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
59,1119,AL,Sumter,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
60,1121,AL,Talladega,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
61,1123,AL,Tallapoosa,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
62,1125,AL,Tuscaloosa,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
63,1127,AL,Walker,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
64,1129,AL,Washington,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
65,1131,AL,Wilcox,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
66,1133,AL,Winston,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3
67,2013,AK,Aleutians East,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
68,2016,AK,Aleutians West,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
69,2020,AK,Anchorage,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
70,2050,AK,Bethel,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
71,2060,AK,Bristol Bay,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
72,2068,AK,Denali,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
73,2070,AK,Dillingham,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
74,2090,AK,Fairbanks North Star,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
75,2100,AK,Haines,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
76,2105,AK,Hoonah-Angoon,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
77,2110,AK,Juneau,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
78,2122,AK,Kenai Peninsula,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
79,2130,AK,Ketchikan Gateway,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
80,2150,AK,Kodiak Island,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
81,2164,AK,Lake and Peninsula,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
82,2170,AK,Matanuska-Susitna,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
83,2180,AK,Nome,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
84,2185,AK,North Slope,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
85,2188,AK,Northwest Arctic,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
86,2195,AK,Petersburg,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
87,2198,AK,Prince of Wales-Hyder,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
88,2220,AK,Sitka,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
89,2230,AK,Skagway,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
90,2240,AK,Southeast Fairbanks,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
91,2261,AK,Valdez-Cordova,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
92,2270,AK,Wade Hampton,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
93,2275,AK,Wrangell,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
94,2282,AK,Yakutat,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
95,2290,AK,Yukon-Koyukuk,12.1,13.3,1.2,4.4,4.4,0.0,7.4,8.0
96,4001,AZ,Apache,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
97,4003,AZ,Cochise,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
98,4005,AZ,Coconino,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
99,4007,AZ,Gila,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
100,4009,AZ,Graham,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
101,4011,AZ,Greenlee,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
102,4012,AZ,La Paz,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
103,4013,AZ,Maricopa,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
104,4015,AZ,Mohave,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
105,4017,AZ,Navajo,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
106,4019,AZ,Pima,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
107,4021,AZ,Pinal,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
108,4023,AZ,Santa Cruz,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
109,4025,AZ,Yavapai,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
110,4027,AZ,Yuma,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9
111,5001,AR,Arkansas,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
112,5003,AR,Ashley,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
113,5005,AR,Baxter,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
114,5007,AR,Benton,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
115,5009,AR,Boone,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
116,5011,AR,Bradley,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
117,5013,AR,Calhoun,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
118,5015,AR,Carroll,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
119,5017,AR,Chicot,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
120,5019,AR,Clark,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
121,5021,AR,Clay,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
122,5023,AR,Cleburne,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
123,5025,AR,Cleveland,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
124,5027,AR,Columbia,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
125,5029,AR,Conway,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
126,5031,AR,Craighead,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
127,5033,AR,Crawford,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
128,5035,AR,Crittenden,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
129,5037,AR,Cross,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
130,5039,AR,Dallas,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
131,5041,AR,Desha,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
132,5043,AR,Drew,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
133,5045,AR,Faulkner,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
134,5047,AR,Franklin,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
135,5049,AR,Fulton,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
136,5051,AR,Garland,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
137,5053,AR,Grant,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
138,5055,AR,Greene,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
139,5057,AR,Hempstead,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
140,5059,AR,Hot Spring,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
141,5061,AR,Howard,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
142,5063,AR,Independence,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
143,5065,AR,Izard,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
144,5067,AR,Jackson,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
145,5069,AR,Jefferson,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
146,5071,AR,Johnson,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
147,5073,AR,Lafayette,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
148,5075,AR,Lawrence,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
149,5077,AR,Lee,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
150,5079,AR,Lincoln,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
151,5081,AR,Little River,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
152,5083,AR,Logan,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
153,5085,AR,Lonoke,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
154,5087,AR,Madison,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
155,5089,AR,Marion,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
156,5091,AR,Miller,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
157,5093,AR,Mississippi,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
158,5095,AR,Monroe,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
159,5097,AR,Montgomery,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
160,5099,AR,Nevada,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
161,5101,AR,Newton,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
162,5103,AR,Ouachita,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
163,5105,AR,Perry,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
164,5107,AR,Phillips,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
165,5109,AR,Pike,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
166,5111,AR,Poinsett,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
167,5113,AR,Polk,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
168,5115,AR,Pope,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
169,5117,AR,Prairie,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
170,5119,AR,Pulaski,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
171,5121,AR,Randolph,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
172,5123,AR,St. Francis,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
173,5125,AR,Saline,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
174,5127,AR,Scott,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
175,5129,AR,Searcy,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
176,5131,AR,Sebastian,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
177,5133,AR,Sevier,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
178,5135,AR,Sharp,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
179,5137,AR,Stone,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
180,5139,AR,Union,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
181,5141,AR,Van Buren,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
182,5143,AR,Washington,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
183,5145,AR,White,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
184,5147,AR,Woodruff,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
185,5149,AR,Yell,14.9,14.9,0.0,6.4,6.0,-0.4,11.2,11.5
186,6001,CA,Alameda,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
187,6003,CA,Alpine,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
188,6005,CA,Amador,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
189,6007,CA,Butte,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
190,6009,CA,Calaveras,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
191,6011,CA,Colusa,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
192,6013,CA,Contra Costa,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
193,6015,CA,Del Norte,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
194,6017,CA,El Dorado,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
195,6019,CA,Fresno,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
196,6021,CA,Glenn,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
197,6023,CA,Humboldt,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
198,6025,CA,Imperial,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
199,6027,CA,Inyo,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
200,6029,CA,Kern,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
201,6031,CA,Kings,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
202,6033,CA,Lake,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
203,6035,CA,Lassen,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
204,6037,CA,Los Angeles,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
205,6039,CA,Madera,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
206,6041,CA,Marin,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
207,6043,CA,Mariposa,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
208,6045,CA,Mendocino,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
209,6047,CA,Merced,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
210,6049,CA,Modoc,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
211,6051,CA,Mono,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
212,6053,CA,Monterey,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
213,6055,CA,Napa,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
214,6057,CA,Nevada,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
215,6059,CA,Orange,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
216,6061,CA,Placer,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
217,6063,CA,Plumas,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
218,6065,CA,Riverside,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
219,6067,CA,Sacramento,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
220,6069,CA,San Benito,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
221,6071,CA,San Bernardino,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
222,6073,CA,San Diego,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
223,6075,CA,San Francisco,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
224,6077,CA,San Joaquin,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
225,6079,CA,San Luis Obispo,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
226,6081,CA,San Mateo,15.6,12.6,-3.0,5.7,4.5,-1.2,10.4,10.8
